,density,mean_temperature,particle_size,ignition,wind_speed,heater_lead_angle,heater_count,heater_spacing,upstream_hot,downstream_hot,diffusivity,CELL,HCELL,LIGC,LIGH,LIGO,CTANN,TRIL
31,31.57894736842105,750.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
32,31.57894736842105,750.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
33,31.57894736842105,750.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
34,31.57894736842105,750.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
35,32.63157894736842,759.6390094221807,1.26,1.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
36,32.63157894736842,750.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
37,32.63157894736842,750.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
38,31.57894736842105,750.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
39,30.526315789473685,750.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
40,33.68421052631579,774.5790467701137,1.26,1.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
41,31.57894736842105,776.3549807274278,1.26,1.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
42,31.57894736842105,775.2386421314482,1.26,1.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
43,31.57894736842105,781.1330422459959,1.26,1.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
44,30.526315789473685,747.34,1.26,1.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
45,33.68421052631579,775.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
46,32.63157894736842,775.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
47,30.526315789473685,775.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
48,33.68421052631579,773.2027608312065,1.26,1.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
49,30.526315789473685,775.0,1.26,0.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
50,35.78947368421053,800.1079114622697,1.26,1.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
51,35.78947368421053,803.338704711749,1.26,1.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
52,38.94736842105263,804.7870395087306,1.26,1.0,0.1,0.0,1,0.0,False,True,8.961104167078298e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
53,164.21052631578948,750.0,0.28,0.0,0.1,0.0,1,0.0,False,True,4.865991267978194e-07,0.4406,0.2201,0.0473,0.1205,0.1089,0.0126,0.0501
